Player,Team,Position,Season,Games played,Category,Metric,Player Value,ECHL Avg,Percentile,Type
A.J. White,Idaho Steelheads,F,2024-25,71,Discipline,Penalties Drawn,0.24,0.254566474,0.541425819,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Discipline,Penalty Differential,0.17,0.000941176,0.9,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Assists,0.49,0.288174757,0.885436893,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Expected Goals,0.26,0.230171103,0.631178707,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,First Assists,0.34,0.173393574,0.93373494,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Goals,0.18,0.221827309,0.457831325,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Passes to Slot,0.82,0.548243243,0.791505792,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Plus/Minus,-0.03,-0.040019724,0.57199211,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Points,0.68,0.496130268,0.754789272,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Pre-Shot Passes,0.97,0.752701149,0.756704981,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Scoring Chances,0.79,0.578721374,0.805343511,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Second Assists,0.15,0.128550725,0.66873706,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,Shots on Goal,1.72,1.839657795,0.480988593,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Offense,xG per Shot,6,3.319334601,0.927756654,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Possession,CORSI,2.11,0.018057692,0.823076923,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Possession,CORSI For %,0.54,0.497096958,0.807984791,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Possession,Fenwick For %,0.533,0.496039924,0.773764259,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Possession,xG For %,0.5,0.488813002,0.562737643,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Puck Management,Accurate Passes %,0.834,0.825906844,0.557034221,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Puck Management,DZ Puck Losses,0.34,0.353632887,0.502868069,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Puck Management,Loose Puck Recovery,1.44,1.476749049,0.482889734,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Puck Management,Puck Battles Won %,0.504,0.464387833,0.849809886,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Puck Management,Puck Losses,4.68,4.832452471,0.576045627,Performance
A.J. White,Idaho Steelheads,F,2024-25,71,Role / Context,Hits,0.87,0.832318008,0.607279693,Context
A.J. White,Idaho Steelheads,F,2024-25,71,Role / Context,Puck Control Time,0.283333333,0.281970849,0.574144487,Context
A.J. White,Idaho Steelheads,F,2024-25,71,Role / Context,TOI,18.65,14.93330165,0.859315589,Context
A.J. White,Idaho Steelheads,F,2024-25,71,Skill,Faceoff Win %,0.525,0.451533623,0.78308026,Performance
Aaron Aragon,Utah,F,2024-25,52,Discipline,Penalties Drawn,0.25,0.254566474,0.583815029,Performance
Aaron Aragon,Utah,F,2024-25,52,Discipline,Penalty Differential,-0.02,0.000941176,0.425490196,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Assists,0.06,0.288174757,0.042718447,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Expected Goals,0.12,0.230171103,0.178707224,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,First Assists,0.06,0.173393574,0.138554217,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Goals,0.08,0.221827309,0.144578313,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Passes to Slot,0.23,0.548243243,0.193050193,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Plus/Minus,-0.48,-0.040019724,0.033530572,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Points,0.13,0.496130268,0.0651341,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Pre-Shot Passes,0.52,0.752701149,0.346743295,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Scoring Chances,0.27,0.578721374,0.16221374,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Second Assists,,0.128550725,,Performance
Aaron Aragon,Utah,F,2024-25,52,Offense,Shots on Goal,1.13,1.839657795,0.201520913,Performance
