Player,DOB,player_key,Team,Position,Games played,Entering NCAA Season,Height Display,Weight Display,Active hand,Nationality,Category,Metric,Per-game value,NCAA Avg,Percentile,Season,Season GP,Season Points,Season Goals,Season Assists,Season PIM
Felix Trudeau,2002-09-24,Felix Trudeau|2002-09-24,Sacred Heart,F,39,5,"6'2""",190,Left,,Offense,Goals,0.64,0.22078717201166181,100.0,2025-26,39,48.0,25.0,23.0,
Lucas Wahlin,2001-05-03,Lucas Wahlin|2001-05-03,St. Thomas,F,35,5,"6'0""",170,Right,,Offense,Goals,0.6,0.22078717201166181,99.70845481049562,2025-26,35,35.0,21.0,14.0,
Walter Zacher,2002-04-02,Walter Zacher|2002-04-02,Canisius,F,32,4,"5'11""",181,Right,,Offense,Goals,0.59,0.22078717201166181,99.41690962099126,2025-26,32,31.0,19.0,12.0,
T.J. Hughes,2001-11-09,T.J. Hughes|2001-11-09,Michigan,F,42,5,"5'11""",185,Right,,Offense,Goals,0.57,0.22078717201166181,98.9795918367347,2025-26,42,65.0,24.0,41.0,
Kai Daniells,2003-03-07,Kai Daniells|2003-03-07,Princeton,F,35,4,"6'0""",181,Left,,Offense,Goals,0.57,0.22078717201166181,98.9795918367347,2025-26,35,40.0,20.0,20.0,
Liam Valente,2003-05-23,Liam Valente|2003-05-23,Western Michigan,F,40,5,"6'0""",190,Left,,Offense,Goals,0.55,0.22078717201166181,98.25072886297376,2025-26,40,38.0,22.0,16.0,
Josh Nadeau,2003-10-22,Josh Nadeau|2003-10-22,Maine,F,31,4,"5'9""",165,Right,,Offense,Goals,0.55,0.22078717201166181,98.25072886297376,2025-26,31,31.0,17.0,14.0,
Dylan James,2003-10-12,Dylan James|2003-10-12,North Dakota,F,42,5,"6'0""",185,Left,,Offense,Goals,0.55,0.22078717201166181,98.25072886297376,2025-26,42,34.0,23.0,11.0,
Charlie Stramel,2004-10-15,Charlie Stramel|2004-10-15,Michigan State,F,39,5,"6'3""",223,Right,,Offense,Goals,0.54,0.22078717201166181,97.52186588921283,2025-26,39,47.0,21.0,26.0,
Brandon Buhr,2002-07-07,Brandon Buhr|2002-07-07,Union,F,35,5,"6'2""",201,Right,,Offense,Goals,0.54,0.22078717201166181,97.52186588921283,2025-26,35,36.0,19.0,17.0,
Dylan Hryckowian,2004-05-19,Dylan Hryckowian|2004-05-19,Northeastern,F,30,4,"5'10""",185,Right,,Offense,Goals,0.53,0.22078717201166181,96.93877551020408,2025-26,30,35.0,16.0,19.0,
Tyson Gross,2002-09-23,Tyson Gross|2002-09-23,St. Cloud State,F,36,4,"6'2""",194,Right,,Offense,Goals,0.53,0.22078717201166181,96.93877551020408,2025-26,36,42.0,19.0,23.0,
William Whitelaw,2005-02-05,William Whitelaw|2005-02-05,Western Michigan,F,40,4,"5'9""",174,Right,,Offense,Goals,0.52,0.22078717201166181,96.50145772594753,2025-26,40,36.0,21.0,15.0,
Matthew DiMarsico,2004-01-07,Matthew DiMarsico|2004-01-07,Penn State,F,36,4,"6'0""",181,Left,,Offense,Goals,0.5,0.22078717201166181,95.6268221574344,2025-26,36,41.0,18.0,23.0,
Joey Muldowney,2004-06-05,Joey Muldowney|2004-06-05,UConn,F,34,4,"5'9""",161,Right,,Offense,Goals,0.5,0.22078717201166181,95.6268221574344,2025-26,34,29.0,17.0,12.0,
Jayden Perron,2005-01-11,Jayden Perron|2005-01-11,Michigan,F,42,4,"5'9""",163,Right,,Offense,Goals,0.5,0.22078717201166181,95.6268221574344,2025-26,42,48.0,21.0,27.0,
Quinn Finley,2004-08-08,Quinn Finley|2004-08-08,Wisconsin,F,38,4,"6'0""",179,Left,,Offense,Goals,0.5,0.22078717201166181,95.6268221574344,2025-26,38,34.0,19.0,15.0,
Jack Musa,2003-07-22,Jack Musa|2003-07-22,UMass Minuteme,F,34,4,"5'10""",172,Left,,Offense,Goals,0.5,0.22078717201166181,95.6268221574344,2025-26,34,36.0,17.0,19.0,
Jacob Black,2002-03-05,Jacob Black|2002-03-05,Bentley,F,41,4,"5'0""",181,Right,,Offense,Goals,0.49,0.22078717201166181,94.75218658892129,2025-26,41,43.0,20.0,23.0,
Alton McDermott,2001-06-04,Alton McDermott|2001-06-04,Canisius,F,17,5,"5'10""",181,Right,,Offense,Goals,0.47,0.22078717201166181,94.46064139941691,2025-26,17,14.0,8.0,6.0,
Evan Werner,2003-02-13,Evan Werner|2003-02-13,Notre Dame,F,37,4,"5'8""",174,Right,,Offense,Goals,0.46,0.22078717201166181,94.02332361516035,2025-26,37,33.0,17.0,16.0,
Alex Gaffney,2002-06-25,Alex Gaffney|2002-06-25,St. Thomas,F,37,5,"5'9""",176,Left,,Offense,Goals,0.46,0.22078717201166181,94.02332361516035,2025-26,37,38.0,17.0,21.0,
Caiden Gault,2002-04-16,Caiden Gault|2002-04-16,Northern Michigan,F,33,5,"6'1""",179,Left,,Offense,Goals,0.45,0.22078717201166181,93.29446064139941,2025-26,33,17.0,15.0,2.0,
Matthew Romer,2002-09-01,Matthew Romer|2002-09-01,Stonehill,F,38,4,"5'11""",179,Right,,Offense,Goals,0.45,0.22078717201166181,93.29446064139941,2025-26,38,24.0,17.0,7.0,
Zaccharya Wisdom,2004-04-29,Zaccharya Wisdom|2004-04-29,Western Michigan,F,40,4,"6'0""",174,Right,,Offense,Goals,0.45,0.22078717201166181,93.29446064139941,2025-26,40,30.0,18.0,12.0,
Brett Rylance,2001-08-03,Brett Rylance|2001-08-03,Long Island,F,34,5,"5'9""",170,Left,,Offense,Goals,0.44,0.22078717201166181,92.4198250728863,2025-26,34,31.0,15.0,16.0,
Michael Citara,2002-04-22,Michael Citara|2002-04-22,Alaska,F,34,4,"5'10""",161,Right,,Offense,Goals,0.44,0.22078717201166181,92.4198250728863,2025-26,34,32.0,15.0,17.0,
